Album,Acquired,Art,Artist,Genre Section,Genres,"Great if you like: ",Released,Tracks
The Rise and Fall of a Midwest Princess,2024,albumart/chappellroan_trafoamp.jpg,Chappell Roan,"12""","Alt Pop, Dance Pop, Electronic, Pop, Synthpop","upbeat, 80s-inspired synthpop",2023,"A: Femininomenon*, Red Wine Supernova*, After Midnight*, Coffee, Casual | B: Super Graphic Ultra Modern Girl*, Hot To Go!*, My Kink Is Karma*, Picture You, Kaleidoscope | C: Pink Pony Club*, Naked In Manhattan*, California, Guilty Pleasure*"
She’s So Unusual,2024 (gift),albumart/cyndilauper_ssu.jpg,Cyndi Lauper,"12""","Art Pop, New Wave, Pop Rock",campy but entirely candid girl power jams,1983,"A: Money Changes Everything, Girls Just Want To Have Fun*, When You Were Mine, Time After Time* | B: She Bop*, All Through The Night, Witness, I’ll Kiss You, He’s So Unusual, Yeah Yeah"
The Very Best of Daryl Hall & John Oates,2023 (my first album),albumart/hallandoates_tvbo.jpg,Hall & Oates,"12""","Pop Rock, R&B, Soft Rock",80s pop-rock hooks with a little soul,1975–1984,"A: Sara Smile, Rich Girl*, It’s A Laugh, Wait For Me, You’ve Lost That Lovin’ Feeling | B: Kiss On My List, You Make My Dreams*, Private Eyes, I Can’t Go For That (No Can Do), Did It In A Minute | C: Maneater*, One On One, Family Man, Say It Isn’t So | D: Adult Education, Out of Touch*, Method of Modern Love, Some Things Are Better Left Unsaid"
Photographs & Memories: His Greatest Hits,2024,albumart/jimcroce_pam.jpg,Jim Croce,"12""","Folk, Greatest Hits, Rock",warm 70s folk rock,1974,"A: Bad Bad Leroy Brown*, Operator*, Photographs and Memories*, Rapid Roy (The Stock Car Boy), Time In A Bottle*, New York’s Not My Home*, Workin’ At The Car Wash Blues* | B: I Got A Name*, I’ll Have To Say I Love You In A Song*, You Don’t Mess Around With Jim*, Lover’s Cross, One Less Set Of Footsteps, These Dreams*, Roller Derby Queen*"
Post,2024,albumart/bjork_post.jpg,Björk,Electronic,"Art Pop, Avant-Pop, Experimental Pop",eclectic and adventurous beat-heavy electronic pop,1995,"A: Army Of Me, Hyperballad*, The Modern Things, It’s Oh So Quiet, Enjoy*, You’ve Been Flirting Again | B: Isobel*, Possibly Maybe*, I Miss You*, Cover Me, Headphones"
Homogenic,2024,albumart/bjork_homogenic.jpg,Björk,Electronic,"Art Pop, Electronica, Experimental, Trip Hop","dramatic vocals with sweeping, orchestral strings and electronic art-pop",1997,"A: Hunter*, Joga*, Unravel, Bachelorette*, All Neon Like | B: 5 Years*, Immature, Alarm Call*, Pluto, All Is Full Of Love"
Dreamland,2023,albumart/glassanimals_dreamland.jpg,Glass Animals,Electronic,"Electronic Rock, Indie Pop, Indie Rock","hazy, nostalgic indie-electronic rock",2020,"A: Dreamland, Tangerine*, Hot Sugar, Space Ghost Coast To Coast*, Tokyo Drifting*, Melon And The Coconut, Your Love (Deja Vu) | B: Waterfalls Coming Out Your Mouth, It’s All So Incredibly Loud, Domestic Bliss, Heat Waves*, Helium"
How To Be A Human Being,2023,albumart/glassanimals_htbahb.jpg,Glass Animals,Electronic,"Electronic Rock, Indie Pop, Indie Rock","eclectic, story-driven psychedelic pop",2016,"A: Life Itself*, Youth, Season 2 Episode 3, Pork Soda, Mama’s Gun | B: Cane Shuga, The Oter Side Of Paradise, Take A Slice*, Poplar St*, Agnes"
Hounds of Love,2025,albumart/katebush_hol.jpg,Kate Bush,Electronic,"Art Pop, Art Rock, New Wave, Progressive Pop",running up that hill,1985,"A: Running Up That Hill*, Hounds Of Love*, The Big Sky, Mother Stands For Comfort, Cloudbusting* | B: And Dream Of Sheep, Under Ice, Waking The Witch, Watching You Without Me, Jig of Life, Hello Earth, The Morning Fog"
Oracular Spectacular,2026,albumart/mgmt_os.jpg,MGMT,Electronic,"Electronic Rock, Indietronica, Psychedelic Pop, Psychedelic Rock, Synthpop",trippy indie-pop,2007,"A: Time To Pretend*, Weekend Wars, The Youth*, Electric Feel*, Kids* | B: 4th Dimensional Transition, Pieces Of What*, Of Moons Birds & Monsters, The Handshake, Future Reflections"
Master of Puppets,2024 (gift),albumart/metallica_mop.jpg,Metallica,Rock,Thrash Metal,"relentless, technical thrash metal",1986,"A: Battery, Master Of Puppets*, The Thing That Should Not Be, Welcome Home (Sanitarium)* | B: Disposable Heroes, Leper Messiah, Orion, Damage Inc"
Currents,2026,albumart/tameimpala_currents.jpg,Tame Impala,Electronic,"Disco, Psychedelic Pop, R&B, Synthpop",dreamy psychedelic synths,2015,"A: Let It Happen, Nangs, The Moment | B: Yes I’m Changing, Eventually, Gossip | C: The Less I Know The Better*, Past Life, Disciples, Cause I’m A Man | D: Reality In Motion, Love/Paranoia, New Person Same Old Mistakes*"
White Blood Cells,2025,albumart/thewhitestripes_wbc.jpg,The White Stripes,Rock,"Alt Rock, Garage Rock, Indie Rock","raw, lo-fi garage-rock energy",2001,"A: Dead Leaves And The Dirty Ground, Hotel Yorba, I’m Finding It Harder To Be A Gentleman, Fell In Love With A Girl*, Expecting, Little Room, The Union Forever, The Same Boy You’ve Always Known | B: We’re Going To Be Friends*, Offend In Every Way, I Think I Smell A Rat, Aluminum, I Can’t Wait, Now Mary, I Can Learn, This Protector"
Deadbeat,2026,albumart/tameimpala_deadbeat.jpg,Tame Impala,Electronic,"Dance, Electronic, Psychedelia",bands that are just one guy,2025,"A: My Old Ways*, No Reply, Dracula* | B: Loser*, Oblivion, Not My World | C: Piece of Heaven, Obsolete, Ethereal Connection | D: See You On Monday (You’re Lost), Afterthought, End Of Summer"
Turn Blue,2026,albumart/theblackkeys_tb.jpg,The Black Keys,Rock,"Blues Rock, Garage Rock, Psychedelic Rock, Soul","hazy, psychedelic blues-rock",2014,"A: Weight Of Love, In Time, Turn Blue, Fever*, Year In Review | B: Bullet In The Brain, It’s Up To You Now, Waiting On Words, 10 Lovers, In Our Prime, Gotta Get Away"
The Best of Sam Cooke,2026,albumart/samcooke_tbosc.jpg,Sam Cooke,Funk/Soul,"Dance, R&B, Soul",timeless soul,1962,"A: You Send Me*, Only Sixteen, Everybody Loves to Cha Cha Cha, For Sentimental Reasons, Wonderful World*, Summertime | B: Chain Gang*, Cupid*, Twistin’ The Night Away, Sad Mood, Having A Party, Bring It On Home To Me*"
Comfort Eagle,2026,albumart/cake_ce.jpg,Cake,Rock,"Funk, Pop, Rock","deadpan, funky alternative rock (also: girls in short skirts and long jackets)",2001,"A: Opera Singer, Meanwhile Rick James…, Shadow Stabbing, Short Skirt / Long Jacket, Commissioning A Symphony In C | B: Arco Arena, Comfort Eagle*, Long Line Of Cars, Love You Madly*, Pretty Pink Ribbon, World Of Two"
An Awesome Wave,2025,albumart/altj_aaw.jpg,alt-J,Indie,"Alt Pop, Art Rock, Folktronica, Indie Rock","textured, artsy indie",2012,"A: Intro, Tessellate*, Breezeblocks*, Something Good, Dissolve Me | B: Matilda*, Ms, Fitzpleasure*, Bloodflood, Taro"
Black Holes & Revelations,2026,albumart/muse_bhar.jpg,Muse,Rock,"Alt Rock, Electronic Rock, Hard Rock, Progressive Rock",that one baseball scene in Twilight,2006,"A: Take A Bow, Starlight*, Supermassive Black Hole*, Map Of The Problematique, Soldier's Poem, Invincible | B: Assassin, Exo-Politics, City Of Delusion, Hoodoo, Knights of Cydonia*"
